location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom,year,month,day,hour
FR04101,Val-de-Marne,France,no2,7.6,2022-04-27 12:00:00+00:00,µg/m³,EEA France,1.0,48.8163672245725,2.51750163428644,POINT(48.8163672245725 1),2022,4,27,12
FR16057,Haut-Rhin,France,no2,30.9,2022-05-18 01:00:00+00:00,µg/m³,EEA France,1.0,47.7574645001881,7.34729375935504,POINT(47.7574645001881 1),2022,5,18,1
FR34030,Cher,France,no2,12.3,2022-04-04 20:00:00+00:00,µg/m³,EEA France,1.0,47.0750331280192,2.40717953424372,POINT(47.0750331280192 1),2022,4,4,20
FR12052,Hautes-Pyrénées,France,no2,9.8,2022-04-04 19:00:00+00:00,µg/m³,EEA France,1.0,43.2302881526032,0.0622219878175955,POINT(43.2302881526032 1),2022,4,4,19
FR31010,Gironde,France,no2,1.9,2022-04-29 14:00:00+00:00,µg/m³,EEA France,1.0,45.0122487032917,-0.528333354571487,POINT(45.0122487032917 1),2022,4,29,14
FR24009,Alpes-Maritimes,France,no2,9.9,2022-05-25 15:00:00+00:00,µg/m³,EEA France,1.0,43.5625273554356,7.00721854224592,POINT(43.5625273554356 1),2022,5,25,15
FR30034,Meurthe-et-Moselle,France,no2,16.7,2022-05-17 04:00:00+00:00,µg/m³,EEA France,1.0,48.6881993336682,6.19043435331308,POINT(48.6881993336682 1),2022,5,17,4
FR04100,Seine-Saint-Denis,France,no2,76.4,2022-04-14 02:00:00+00:00,µg/m³,EEA France,1.0,48.8819236211318,2.50722490743611,POINT(48.8819236211318 1),2022,4,14,2
FR04100,Seine-Saint-Denis,France,no2,12.4,2022-05-20 19:00:00+00:00,µg/m³,EEA France,1.0,48.8819236211318,2.50722490743611,POINT(48.8819236211318 1),2022,5,20,19
FR18089,Oise,France,no2,40.7,2022-05-10 10:00:00+00:00,µg/m³,EEA France,1.0,49.435953836447,2.0842890885198,POINT(49.435953836447 1),2022,5,10,10
London Marylebone Road,London,United Kingdom,no2,37.0,2022-05-08 21:00:00+00:00,µg/m³,DEFRA,1.0,51.52253,-0.154611,POINT(51.52253 1),2022,5,8,21
Barking and Dagenham - Rush Green,Barking and Dagenham,United Kingdom,no2,10.7,2022-05-03 02:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.563752,0.177891,POINT(51.563752 1),2022,5,3,2
Preston,Preston,United Kingdom,no2,26.0,2022-04-03 04:00:00+00:00,µg/m³,DEFRA,1.0,53.76559,-2.680353,POINT(53.76559 1),2022,4,3,4
Liverpool Speke,Liverpool,United Kingdom,no2,5.0,2022-05-23 07:00:00+00:00,µg/m³,DEFRA,1.0,53.34633,-2.844333,POINT(53.34633 1),2022,5,23,7
Liverpool Speke,Liverpool,United Kingdom,no2,11.0,2022-05-05 16:00:00+00:00,µg/m³,DEFRA,1.0,53.34633,-2.844333,POINT(53.34633 1),2022,5,5,16
Belfast Stockman's Lane,Belfast,United Kingdom,no2,29.0,2022-05-07 21:00:00+00:00,µg/m³,DEFRA,1.0,54.572586,-5.974944,POINT(54.572586 1),2022,5,7,21
Brighton Preston Park,Brighton,United Kingdom,no2,6.0,2022-05-11 16:00:00+00:00,µg/m³,DEFRA,1.0,50.840836,-0.147572,POINT(50.840836 1),2022,5,11,16
Nottingham Centre,Nottingham,United Kingdom,no2,9.0,2022-05-10 00:00:00+00:00,µg/m³,DEFRA,1.0,52.95473,-1.146447,POINT(52.95473 1),2022,5,10,0
Westminster - Cavendish Square,Westminster,United Kingdom,no2,22.1,2022-05-18 06:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.5168016452062,-0.145657269364411,POINT(51.5168016452062 1),2022,5,18,6
Lullington Heath,Lullington Heath,United Kingdom,no2,2.0,2022-05-08 02:00:00+00:00,µg/m³,DEFRA,1.0,50.7937,0.18125,POINT(50.7937 1),2022,5,8,2
Bath Roadside,Bath,United Kingdom,no2,25.0,2019-06-11 08:00:00+00:00,µg/m³,DEFRA,51.39113,-2.354155,1.0,POINT(-2.354155 51.39113),2019,6,11,8
Islington - Holloway Road,Islington,United Kingdom,no2,19.6,2022-04-29 07:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.555378,-0.116146,POINT(51.555378 1),2022,4,29,7
Leominster,Leominster,United Kingdom,no2,2.0,2022-05-17 23:00:00+00:00,µg/m³,DEFRA,1.0,52.22174,-2.736665,POINT(52.22174 1),2022,5,17,23
Liverpool Speke,Liverpool,United Kingdom,no2,2.0,2022-05-11 00:00:00+00:00,µg/m³,DEFRA,1.0,53.34633,-2.844333,POINT(53.34633 1),2022,5,11,0
Chesterfield Loundsley Green,Chesterfield,United Kingdom,no2,4.0,2022-05-06 15:00:00+00:00,µg/m³,DEFRA,1.0,53.244131,-1.454946,POINT(53.244131 1),2022,5,6,15
Billingham,Billingham,United Kingdom,no2,1.0,2022-05-11 00:00:00+00:00,µg/m³,DEFRA,1.0,54.60537,-1.275039,POINT(54.60537 1),2022,5,11,0
Brent - ARK Franklin Primary Academy,Brent,United Kingdom,no2,21.1,2022-05-14 08:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.5324054617809,-0.217718908639377,POINT(51.5324054617809 1),2022,5,14,8
Enfield - Bowes Primary School,Enfield,United Kingdom,no2,21.7,2022-05-14 13:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.613865,-0.125338,POINT(51.613865 1),2022,5,14,13
Greenock A8 Roadside,Central Scotland,United Kingdom,no2,21.0,2022-05-10 17:00:00+00:00,µg/m³,DEFRA,1.0,55.944079,-4.734421,POINT(55.944079 1),2022,5,10,17
Grangemouth Moray,Grangemouth,United Kingdom,no2,10.0,2022-05-07 05:00:00+00:00,µg/m³,DEFRA,1.0,56.013142,-3.710833,POINT(56.013142 1),2022,5,7,5
Shaw Crompton Way,Crompton Way   OL2 8AQ,United Kingdom,no2,32.0,2022-05-04 12:00:00+00:00,µg/m³,DEFRA,1.0,53.579283,-2.093786,POINT(53.579283 1),2022,5,4,12
Barking and Dagenham - Scrattons Farm,Barking and Dagenham,United Kingdom,no2,14.6,2022-05-24 01:00:00+00:00,µg/m³,London Air Quality Network,1.0,51.529389,0.132857,POINT(51.529389 1),2022,5,24,1
Belfast Centre,Belfast,United Kingdom,no2,29.0,2022-05-07 21:00:00+00:00,µg/m³,DEFRA,1.0,54.59965,-5.928833,POINT(54.59965 1),2022,5,7,21
Southampton A33,Southampton,United Kingdom,no2,20.0,2022-04-30 19:00:00+00:00,µg/m³,DEFRA,1.0,50.920265,-1.463484,POINT(50.920265 1),2022,4,30,19
