location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,location_geom
Laval - Chomedey,QUEBEC,CA,o3,0.039,2022-04-30 04:00:00.000000 UTC,ppm,AirNow,1.0,45.5472,-73.7472,POINT(45.5472 1)
Edmonton Central Eas,N/A,CA,o3,0.032,2022-05-08 20:00:00.000000 UTC,ppm,AirNow,1.0,53.549509,-113.48593,POINT(53.549509 1)
Rivière-des-Prairies,N/A,CA,o3,0.044,2022-05-08 16:00:00.000000 UTC,ppm,AirNow,1.0,45.651722,-73.573896,POINT(45.651722 1)
Deschambault,QUEBEC,CA,o3,0.053,2022-05-10 15:00:00.000000 UTC,ppm,AirNow,1.0,46.6822,-71.9678,POINT(46.6822 1)
Laval - Chomedey,QUEBEC,CA,o3,0.041,2022-04-15 15:00:00.000000 UTC,ppm,AirNow,1.0,45.5472,-73.7472,POINT(45.5472 1)
Toronto Downtown,N/A,CA,o3,0.046,2022-05-09 22:00:00.000000 UTC,ppm,AirNow,1.0,43.64543,-79.38908,POINT(43.64543 1)
Saint-Faustin-Lac-Ca,QUEBEC,CA,o3,0.051,2022-05-13 18:00:00.000000 UTC,ppm,AirNow,1.0,46.035,-74.4819,POINT(46.035 1)
Québec - Charlesbour,N/A,CA,o3,0.044,2022-05-14 02:00:00.000000 UTC,ppm,AirNow,1.0,46.8615,-71.2572,POINT(46.8615 1)
Molson,N/A,CA,o3,0.044,2022-04-29 05:00:00.000000 UTC,ppm,AirNow,1.0,45.542767,-73.572039,POINT(45.542767 1)
Sparwood Centennial,N/A,CA,o3,0.014,2022-05-03 10:00:00.000000 UTC,ppm,AirNow,1.0,49.732786,-114.88766,POINT(49.732786 1)
Victoria Topaz,BRITISH COLUMBIA,CA,o3,0.04,2022-05-02 01:00:00.000000 UTC,ppm,AirNow,1.0,48.441942,-123.363165,POINT(48.441942 1)
Pickle Lake,ONTARIO,CA,o3,0.037,2022-05-20 08:00:00.000000 UTC,ppm,AirNow,1.0,54.4494,-90.2175,POINT(54.4494 1)
Duncan,N/A,CA,o3,0.043,2022-05-21 22:00:00.000000 UTC,ppm,AirNow,1.0,45.502648,-73.663913,POINT(45.502648 1)
Pinehouse Lake,SASKATCHEWAN,CA,o3,0.032,2022-05-07 16:00:00.000000 UTC,ppm,AirNow,1.0,55.50333,-106.72167,POINT(55.50333 1)
Saint-Jean-sur-Riche,QUEBEC,CA,o3,0.041,2022-04-28 12:00:00.000000 UTC,ppm,AirNow,1.0,45.29417,-73.3489,POINT(45.29417 1)
Tingwick,QUEBEC,CA,o3,0.046,2022-05-10 05:00:00.000000 UTC,ppm,AirNow,1.0,45.9075,-71.9492,POINT(45.9075 1)
Fort MacKay West,N/A,CA,o3,0.028,2022-05-16 22:00:00.000000 UTC,ppm,AirNow,1.0,56.9967,-111.5926,POINT(56.9967 1)
Kensington Park,BRITISH COLUMBIA,CA,o3,0.037,2022-05-09 03:00:00.000000 UTC,ppm,AirNow,1.0,49.2794,-122.9711,POINT(49.2794 1)
Radisson,N/A,CA,o3,0.023,2022-05-25 02:00:00.000000 UTC,ppm,AirNow,1.0,53.69218,-77.74102,POINT(53.69218 1)
Lake Major,NOVA SCOTIA,CA,o3,0.011,2022-05-06 10:00:00.000000 UTC,ppm,AirNow,1.0,44.7198,-63.48076,POINT(44.7198 1)
Cranbrook Muriel Bax,N/A,CA,o3,0.027,2022-05-16 16:00:00.000000 UTC,ppm,AirNow,1.0,49.507103,-115.753682,POINT(49.507103 1)
SAINT JOHN WEST,NEW BRUNSWICK,CA,o3,0.028,2022-05-23 22:00:00.000000 UTC,ppm,AirNow,1.0,45.25315,-66.079931,POINT(45.25315 1)
EDMUNDSTON QUEEN ST.,NEW BRUNSWICK,CA,o3,0.019,2022-05-16 07:00:00.000000 UTC,ppm,AirNow,1.0,47.363195,-68.322302,POINT(47.363195 1)
Cold Lake South,ALBERTA,CA,o3,0.044,2022-05-01 23:00:00.000000 UTC,ppm,AirNow,1.0,54.4138,-110.2331,POINT(54.4138 1)
Radisson,N/A,CA,o3,0.031,2022-04-29 07:00:00.000000 UTC,ppm,AirNow,1.0,53.69218,-77.74102,POINT(53.69218 1)
FOREST HILLS,NEW BRUNSWICK,CA,o3,0.039,2022-05-03 16:00:00.000000 UTC,ppm,AirNow,1.0,45.308778,-66.008333,POINT(45.308778 1)
Duncan,N/A,CA,o3,0.037,2022-05-05 14:00:00.000000 UTC,ppm,AirNow,1.0,45.502648,-73.663913,POINT(45.502648 1)
Langley,BRITISH COLUMBIA,CA,o3,0.028,2022-04-28 17:00:00.000000 UTC,ppm,AirNow,1.0,49.09556,-122.56694,POINT(49.09556 1)
Aéroport de Montréal,N/A,CA,o3,0.018,2022-05-04 13:00:00.000000 UTC,ppm,AirNow,1.0,45.468297,-73.741185,POINT(45.468297 1)
Burnaby Mountain,N/A,CA,o3,0.026,2022-05-10 12:00:00.000000 UTC,ppm,AirNow,1.0,49.2798,-122.9223,POINT(49.2798 1)
Grand Falls Windsor,NEWFOUNDLAND,CA,o3,0.037,2022-05-21 12:30:00.000000 UTC,ppm,AirNow,1.0,48.92696,-55.6597,POINT(48.92696 1)
Miramichi,NEW BRUNSWICK,CA,o3,0.017,2022-05-16 22:00:00.000000 UTC,ppm,AirNow,1.0,47.02567,-65.52049,POINT(47.02567 1)
Edmonton Central Eas,N/A,CA,o3,0.027,2022-05-12 09:00:00.000000 UTC,ppm,AirNow,1.0,53.549509,-113.48593,POINT(53.549509 1)
Mahon Park,BRITISH COLUMBIA,CA,o3,0.023,2022-05-13 11:00:00.000000 UTC,ppm,AirNow,1.0,49.323891,-123.083611,POINT(49.323891 1)
CZ0PPLA,Plzeňský,CZ,o3,88.0,2022-05-09 12:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,49.7324485778809,13.4022808074951,POINT(49.7324485778809 1)
CZ0LSOU,Liberecký,CZ,o3,44.3,2022-05-13 06:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.7896461486816,15.3196830749512,POINT(50.7896461486816 1)
CZ0TBKR,Moravskoslezský,CZ,o3,102.1,2022-04-28 17:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,49.5026092529297,18.5385608673096,POINT(49.5026092529297 1)
CZ0USNZ,Ústecký,CZ,o3,67.8,2022-05-24 06:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.7894439697266,14.0867986679077,POINT(50.7894439697266 1)
CZ0URVH,Ústecký,CZ,o3,108.9,2022-05-05 12:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.579833984375,13.419506072998,POINT(50.579833984375 1)
CZ0LFRT,Liberecký,CZ,o3,98.2,2022-05-13 11:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.9406509399414,15.0698165893555,POINT(50.9406509399414 1)
CZ0CCHU,Jihočeský,CZ,o3,106.7,2022-04-29 02:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,49.0684356689453,13.6148014068604,POINT(49.0684356689453 1)
CZ0CHVO,Jihočeský,CZ,o3,113.3,2022-05-19 16:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,48.7241973876953,14.7233819961548,POINT(48.7241973876953 1)
CZ0ESVR,Pardubický,CZ,o3,107.1,2022-05-11 00:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,49.7350845336914,16.0341968536377,POINT(49.7350845336914 1)
CZ0CHVO,Jihočeský,CZ,o3,93.2,2022-04-28 10:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,48.7241973876953,14.7233819961548,POINT(48.7241973876953 1)
CZ0LLIL,Liberecký,CZ,o3,47.7,2022-05-14 05:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.7551002502441,15.0699672698975,POINT(50.7551002502441 1)
CZ0UTUS,Ústecký,CZ,o3,97.4,2022-05-12 18:00:00.000000 UTC,µg/m³,EEA Czech Republic,1.0,50.3765869140625,13.3276224136353,POINT(50.3765869140625 1)
DENI016,Niedersachsen,DE,o3,57.6353,2022-05-07 01:00:00.000000 UTC,µg/m³,EEA Germany,1.0,51.90158,10.48132,POINT(51.90158 1)
DEBY068,Bayern,DE,o3,33.45,2022-05-22 01:00:00.000000 UTC,µg/m³,EEA Germany,1.0,50.048397,10.232076,POINT(50.048397 1)
DETH041,Thüringen,DE,o3,22.20579529,2022-05-06 01:00:00.000000 UTC,µg/m³,EEA Germany,1.0,50.933513,11.597062,POINT(50.933513 1)
ES1742A,Las Palmas,ES,o3,77.0,2022-05-08 20:00:00.000000 UTC,µg/m³,EEA Spain,1.0,27.7725973595564,-15.54188043,POINT(27.7725973595564 1)
ES1201A,Girona,ES,o3,64.0,2022-05-16 05:00:00.000000 UTC,µg/m³,EEA Spain,1.0,42.3919756864653,2.842138412,POINT(42.3919756864653 1)
